description,amount,category,date
Starbucks order 499,68.99,Food & Dining,2025-05-11
Amazon Wife,16.18,Shopping,2025-11-07
Loan EMI My,1499.31,Finance,2024-11-28
Trainline ride from West Rodneytown,812.08,Travel,2024-12-17
Electric Company Hold,122.13,Utilities,2025-07-13
Internet Service Hold,146.49,Utilities,2025-03-10
Movie Theater Practice,39.19,Entertainment,2025-02-13
Miscellaneous Every,210.22,Others,2025-01-14
Domino's order 844,42.18,Food & Dining,2025-06-02
Walmart Agency,134.79,Shopping,2025-02-11
Movie Theater Certain,18.06,Entertainment,2025-06-14
Charity Donation Lay,175.21,Others,2025-04-27
Charity Donation Have,80.42,Others,2025-07-23
Ola ride from East Ethan,637.71,Travel,2025-11-10
Walgreens State,162.88,Healthcare,2025-07-08
Hospital Material,52.18,Healthcare,2025-04-02
Spotify Whom,45.3,Entertainment,2025-01-03
Ola ride from South Davidview,310.58,Travel,2025-05-15
KFC order 857,9.56,Food & Dining,2025-05-25
Target Arm,12.86,Shopping,2025-05-11
Gym Membership Staff,106.59,Fitness,2025-01-19
Walgreens Party,119.21,Healthcare,2025-04-26
Netflix Baby,15.41,Entertainment,2024-12-08
Gas Co Public,41.98,Utilities,2025-08-09
McDonald's order 193,54.33,Food & Dining,2025-03-20
Investment Platform Low,1167.47,Finance,2024-12-26
Electric Company Catch,252.81,Utilities,2025-04-07
Domino's order 243,96.87,Food & Dining,2025-09-02
Lyft ride from Benjaminshire,102.35,Travel,2025-03-28
KFC order 752,17.48,Food & Dining,2025-10-07
Best Buy Employee,152.73,Shopping,2025-01-13
Loan EMI Knowledge,1741.21,Finance,2025-08-21
Pizza Hut order 367,35.1,Food & Dining,2025-06-29
Investment Platform Significant,1277.85,Finance,2025-10-01
Loan EMI Writer,1424.22,Finance,2025-10-22
Walmart Expert,427.47,Shopping,2025-11-04
Ola ride from Jamesmouth,30.22,Travel,2025-04-29
Walgreens Street,103.88,Healthcare,2025-02-06
CVS Pharmacy Attention,87.21,Healthcare,2024-12-25
Phone Bill Very,256.33,Utilities,2025-07-27
Cafe Nero order 392,60.37,Food & Dining,2024-12-31
Target Break,105.52,Shopping,2025-03-06
Delta Airlines ride from Adamstad,630.73,Travel,2025-11-11
Ola ride from West Amandastad,153.02,Travel,2025-05-13
Charity Donation Radio,372.9,Others,2025-03-02
Electric Company Evening,271.44,Utilities,2025-10-23
Credit Card Payment Close,1713.41,Finance,2025-07-22
Miscellaneous Though,34.49,Others,2025-03-21
Best Buy Executive,131.37,Shopping,2025-04-23
Loan EMI Play,1086.86,Finance,2024-12-24
Internet Service Scene,138.24,Utilities,2025-01-30
Disney+ Ball,20.56,Entertainment,2025-01-18
Clinic Offer,158.0,Healthcare,2025-09-21
Amazon Spring,108.66,Shopping,2025-01-23
Credit Card Payment Professor,272.26,Finance,2025-03-29
Gym Membership Cut,17.07,Fitness,2025-09-30
Miscellaneous Language,333.56,Others,2024-12-04
Pizza Hut order 895,66.86,Food & Dining,2025-02-08
Walgreens Side,50.87,Healthcare,2025-02-11
Gift Shop Operation,214.76,Others,2025-08-16
Starbucks order 831,84.74,Food & Dining,2025-08-04
Charity Donation Clearly,164.17,Others,2025-06-05
Etsy Have,480.77,Shopping,2025-10-22
Charity Donation Reduce,304.41,Others,2025-09-04
Cinema Probably,17.54,Entertainment,2025-03-11
Walmart Space,161.07,Shopping,2025-08-02
Gift Shop The,271.63,Others,2025-01-19
Trainline ride from West Sue,269.51,Travel,2025-02-21
Internet Service World,213.91,Utilities,2025-09-13
Ola ride from Hallmouth,585.02,Travel,2024-12-22
Walgreens Election,86.11,Healthcare,2025-01-13
Walgreens Race,14.35,Healthcare,2025-10-08
Yoga Studio Western,88.89,Fitness,2025-11-01
Walmart Modern,332.99,Shopping,2024-12-13
Hulu Bag,37.9,Entertainment,2025-10-19
Investment Platform Cold,760.35,Finance,2025-09-07
Flipkart Contain,124.03,Shopping,2025-01-21
Walmart Win,440.35,Shopping,2025-10-31
Best Buy Song,103.82,Shopping,2025-11-01
Investment Platform War,466.77,Finance,2025-03-05
Trainline ride from Port Nancy,274.15,Travel,2024-12-14
Netflix As,6.72,Entertainment,2025-08-10
Subway order 948,54.28,Food & Dining,2025-02-17
Credit Card Payment Red,1402.72,Finance,2024-11-23
Cinema Data,23.22,Entertainment,2025-07-09
Water Board Decade,175.02,Utilities,2025-06-06
Charity Donation Notice,376.25,Others,2025-05-22
Movie Theater Move,48.15,Entertainment,2024-11-23
Miscellaneous Congress,439.91,Others,2025-09-21
Phone Bill Reality,195.25,Utilities,2025-04-22
Bank Transfer Woman,1198.86,Finance,2025-05-13
Delta Airlines ride from Hesterview,561.73,Travel,2025-04-23
Etsy Lay,288.55,Shopping,2024-12-03
Miscellaneous Either,284.38,Others,2025-04-03
Clinic Bed,11.09,Healthcare,2025-05-25
Investment Platform Because,1812.73,Finance,2025-02-21
CVS Pharmacy Hope,196.04,Healthcare,2024-12-12
Target Sport,16.94,Shopping,2025-01-06
Internet Service Fear,49.91,Utilities,2024-12-09
Uber ride from Lewismouth,657.46,Travel,2025-10-20
Cinema Upon,20.35,Entertainment,2025-01-29
CVS Pharmacy Society,55.82,Healthcare,2025-07-18
Pizza Hut order 669,79.49,Food & Dining,2025-07-28
McDonald's order 723,16.5,Food & Dining,2025-08-16
Airbnb ride from South Mariemouth,836.6,Travel,2025-09-08
Movie Theater Already,45.58,Entertainment,2025-02-10
Subway order 415,78.96,Food & Dining,2025-09-13
Delta Airlines ride from Hawkinsport,608.32,Travel,2025-01-31
Cinema Tend,41.83,Entertainment,2025-10-12
Loan EMI Low,981.76,Finance,2025-01-31
Lyft ride from South Michaelmouth,608.8,Travel,2025-10-18
Miscellaneous Upon,409.09,Others,2025-03-01
Gift Shop Alone,292.23,Others,2025-05-18
Amazon Per,182.7,Shopping,2025-07-01
Cafe Nero order 116,54.77,Food & Dining,2025-08-01
Fitbit Subscription Catch,44.85,Fitness,2025-05-27
Airbnb ride from East Amymouth,572.61,Travel,2025-01-30
Starbucks order 345,24.73,Food & Dining,2025-06-26
Starbucks order 520,42.62,Food & Dining,2025-03-14
Yoga Studio Political,50.34,Fitness,2025-04-07
Bank Transfer Scene,860.53,Finance,2025-04-09
Walgreens Art,52.41,Healthcare,2024-12-30
Subway order 103,67.59,Food & Dining,2024-12-19
Bank Transfer Series,131.33,Finance,2025-06-02
Bank Transfer Different,1447.04,Finance,2025-10-24
Walmart Positive,183.67,Shopping,2025-09-21
Fitbit Subscription Size,124.75,Fitness,2025-05-09
Starbucks order 530,73.5,Food & Dining,2025-03-07
Gym Membership Remember,81.98,Fitness,2025-01-23
Taxi Service ride from East Jenniferfurt,965.72,Travel,2025-04-09
Yoga Studio Goal,105.5,Fitness,2025-02-20
Yoga Studio Shoulder,112.89,Fitness,2025-08-15
Bank Transfer Sign,1212.63,Finance,2025-03-13
Investment Platform Join,1264.98,Finance,2025-01-24
Gas Co Sign,48.65,Utilities,2025-06-08
Planet Fitness Fund,106.96,Fitness,2025-08-04
Rite Aid Cover,196.28,Healthcare,2025-04-08
Credit Card Payment Itself,1027.69,Finance,2025-08-15
Credit Card Payment Agreement,976.08,Finance,2025-04-23
Water Board Enough,231.5,Utilities,2025-11-05
Gift Shop Room,156.53,Others,2025-10-25
Yoga Studio Care,112.96,Fitness,2025-06-27
McDonald's order 658,10.71,Food & Dining,2024-12-20
Rite Aid Director,154.63,Healthcare,2025-05-11
Gas Co Congress,38.31,Utilities,2024-12-18
Investment Platform Nearly,1619.44,Finance,2025-07-18
Planet Fitness Foot,66.15,Fitness,2024-12-09
Airbnb ride from Triciaville,63.93,Travel,2025-01-06
Trainline ride from South Josephville,874.19,Travel,2024-12-04
Starbucks order 799,40.08,Food & Dining,2025-01-16
Clinic Whose,158.69,Healthcare,2025-08-02
Investment Platform Evidence,1798.18,Finance,2025-04-18
Clinic Before,91.63,Healthcare,2025-03-26
Gas Co Whom,182.2,Utilities,2025-09-20
Pizza Hut order 461,28.66,Food & Dining,2025-04-14
Etsy Group,187.49,Shopping,2025-06-03
Domino's order 332,93.0,Food & Dining,2024-12-16
Etsy Without,497.77,Shopping,2025-04-09
Uber ride from Pateltown,466.68,Travel,2025-01-23
Bank Transfer Those,1888.79,Finance,2025-03-18
Best Buy Performance,32.94,Shopping,2025-10-08
Hospital Opportunity,180.1,Healthcare,2025-04-26
Walgreens Letter,135.05,Healthcare,2025-03-04
Clinic Guy,92.18,Healthcare,2025-09-16
Delta Airlines ride from Loveside,722.18,Travel,2025-06-08
Planet Fitness Southern,132.84,Fitness,2025-05-14
Gym Membership Nice,99.69,Fitness,2025-10-17
Disney+ Ready,47.74,Entertainment,2025-02-27
Internet Service Senior,113.99,Utilities,2025-05-06
Gas Co Third,229.09,Utilities,2025-02-05
Amazon Receive,364.05,Shopping,2025-05-20
Uber ride from Brittanyberg,854.94,Travel,2025-04-18
Bank Transfer Against,1567.18,Finance,2025-11-04
McDonald's order 607,74.75,Food & Dining,2025-03-22
Clinic Million,198.79,Healthcare,2025-06-01
Clinic Kid,114.8,Healthcare,2025-04-23
Hulu Rest,13.61,Entertainment,2025-05-02
Gym Membership Happy,11.42,Fitness,2025-10-02
Water Board Security,244.8,Utilities,2025-04-23
Walmart Write,286.28,Shopping,2025-01-29
Miscellaneous Behind,336.68,Others,2025-04-01
Miscellaneous Though,378.25,Others,2025-05-11
Loan EMI Son,1714.69,Finance,2025-03-15
Disney+ Sometimes,30.59,Entertainment,2025-10-31
Water Board Western,295.22,Utilities,2025-10-27
Disney+ Cause,6.66,Entertainment,2025-02-27
Yoga Studio Forward,55.41,Fitness,2025-06-22
Yoga Studio Maybe,71.74,Fitness,2024-11-25
Water Board Game,282.31,Utilities,2025-09-16
Fitbit Subscription Perform,61.66,Fitness,2024-12-29
KFC order 575,5.59,Food & Dining,2025-10-30
Bank Transfer Current,940.74,Finance,2025-04-25
Walgreens Artist,106.42,Healthcare,2025-07-26
Netflix Information,29.85,Entertainment,2025-03-19
Rite Aid Dream,184.47,Healthcare,2025-08-04
Amazon Pressure,323.93,Shopping,2025-04-09
Cinema Maybe,25.58,Entertainment,2025-02-23
Amazon Serve,449.57,Shopping,2025-06-14
Water Board Begin,172.87,Utilities,2025-05-05
Charity Donation Fall,284.53,Others,2025-09-16
McDonald's order 341,57.6,Food & Dining,2024-11-27
Domino's order 783,15.17,Food & Dining,2025-07-22
Best Buy Reason,444.53,Shopping,2025-01-12
Hulu Woman,12.66,Entertainment,2025-06-16
Miscellaneous Purpose,158.62,Others,2025-02-09
Disney+ Move,20.87,Entertainment,2025-06-16
Charity Donation He,444.37,Others,2025-04-26
Flipkart Analysis,301.67,Shopping,2025-04-04
Target Share,382.68,Shopping,2025-11-21
Loan EMI Toward,1579.92,Finance,2025-10-17
Planet Fitness Ahead,71.14,Fitness,2025-06-15
Loan EMI Actually,1320.14,Finance,2025-02-14
Domino's order 885,48.45,Food & Dining,2025-11-15
Delta Airlines ride from Lisabury,975.56,Travel,2025-02-21
Disney+ Little,21.28,Entertainment,2025-11-17
Rite Aid Probably,122.23,Healthcare,2025-10-20
Phone Bill World,247.12,Utilities,2025-08-11
Flipkart Write,112.64,Shopping,2025-05-23
Loan EMI Various,1300.07,Finance,2025-09-28
Yoga Studio Level,80.21,Fitness,2025-04-05
Planet Fitness Newspaper,22.73,Fitness,2025-10-15
McDonald's order 269,64.81,Food & Dining,2025-01-13
Miscellaneous Serve,392.58,Others,2025-09-01
Electric Company Begin,144.27,Utilities,2024-12-07
Starbucks order 798,41.24,Food & Dining,2025-04-07
Charity Donation Anything,281.23,Others,2025-01-20
Pizza Hut order 851,7.1,Food & Dining,2025-03-09
Movie Theater Here,35.36,Entertainment,2025-03-05
Planet Fitness Real,105.49,Fitness,2025-07-08
Etsy Toward,308.63,Shopping,2025-02-12
McDonald's order 888,76.41,Food & Dining,2025-02-05
Investment Platform Little,914.5,Finance,2025-10-21
Bank Transfer Risk,1522.24,Finance,2025-05-14
Cafe Nero order 658,61.12,Food & Dining,2025-10-13
Lyft ride from New Meganton,937.36,Travel,2025-10-16
Yoga Studio Language,119.7,Fitness,2025-01-03
Ola ride from Brownview,667.9,Travel,2025-07-22
Bank Transfer Can,1272.03,Finance,2024-11-30
Planet Fitness Explain,128.9,Fitness,2024-12-21
Loan EMI Table,1743.9,Finance,2025-04-28
Internet Service Inside,72.94,Utilities,2025-02-06
Bank Transfer Method,1282.56,Finance,2025-06-12
Electric Company Begin,244.73,Utilities,2025-08-24
Loan EMI Civil,1253.23,Finance,2025-10-02
Taxi Service ride from North Patrickville,742.34,Travel,2025-01-13
Gas Co Bar,52.21,Utilities,2024-12-08
Lyft ride from West Jamesstad,995.95,Travel,2025-10-23
Movie Theater Film,49.48,Entertainment,2025-08-29
CVS Pharmacy White,10.66,Healthcare,2025-05-14
Ola ride from Benjaminstad,782.04,Travel,2025-04-11
Fitbit Subscription Big,30.57,Fitness,2025-01-04
Walmart Student,391.71,Shopping,2025-11-11
Gift Shop Serve,363.89,Others,2025-09-25
Movie Theater Occur,15.64,Entertainment,2025-02-02
McDonald's order 992,25.84,Food & Dining,2025-07-06
Water Board Beat,279.4,Utilities,2025-05-26
Airbnb ride from North Michaelstad,235.39,Travel,2025-03-08
Clinic Again,169.97,Healthcare,2025-08-08
Etsy Style,106.44,Shopping,2025-03-18
Airbnb ride from Perryfort,842.86,Travel,2025-06-02
Rite Aid As,45.35,Healthcare,2024-12-24
Etsy Positive,417.82,Shopping,2025-03-15
Gift Shop Statement,186.2,Others,2025-11-20
Miscellaneous World,399.52,Others,2024-12-18
Bank Transfer Government,780.89,Finance,2024-12-31
Gas Co Individual,229.48,Utilities,2025-01-31
Credit Card Payment Build,620.03,Finance,2024-11-22
Flipkart Sing,68.83,Shopping,2025-03-14
Amazon Believe,387.06,Shopping,2024-12-05
Rite Aid Start,124.15,Healthcare,2025-10-03
Investment Platform Play,703.04,Finance,2025-11-10
Fitbit Subscription Place,71.96,Fitness,2025-08-24
Planet Fitness It,48.87,Fitness,2025-05-10
Cinema Business,5.58,Entertainment,2025-01-26
Best Buy Return,10.76,Shopping,2025-01-17
Electric Company Range,108.22,Utilities,2025-04-06
Hulu Water,18.43,Entertainment,2025-03-10
Etsy Couple,317.4,Shopping,2025-11-15
Trainline ride from Pollardville,455.27,Travel,2025-09-08
Lyft ride from Ryanhaven,525.46,Travel,2024-11-26
Gift Shop Cultural,407.99,Others,2025-07-30
Miscellaneous Five,333.15,Others,2025-03-12
Cinema Issue,15.36,Entertainment,2025-11-14
Water Board Partner,262.64,Utilities,2025-07-29
Movie Theater Green,25.64,Entertainment,2025-02-03
Amazon Recognize,248.54,Shopping,2025-06-07
Water Board Value,57.89,Utilities,2025-02-09
Walmart Activity,210.04,Shopping,2025-07-18
Cinema High,46.07,Entertainment,2025-10-31
Domino's order 909,92.76,Food & Dining,2025-06-12
CVS Pharmacy Minute,36.11,Healthcare,2025-04-01
Flipkart Alone,29.93,Shopping,2025-09-30
Spotify Beautiful,19.38,Entertainment,2025-04-06
Internet Service Music,275.82,Utilities,2025-07-01
Hospital Might,36.36,Healthcare,2024-12-22
Loan EMI Open,119.27,Finance,2025-01-28
Pizza Hut order 138,44.3,Food & Dining,2025-08-27
Gym Membership Sport,98.73,Fitness,2024-11-26
Gift Shop Strategy,313.77,Others,2024-12-06
Walmart Many,47.43,Shopping,2024-12-01
CVS Pharmacy Sell,110.6,Healthcare,2025-03-08
Water Board Strategy,80.18,Utilities,2025-03-21
Water Board Chance,206.4,Utilities,2025-08-16
Domino's order 861,21.41,Food & Dining,2025-09-23
Investment Platform Go,1732.42,Finance,2025-08-16
Domino's order 705,69.44,Food & Dining,2025-08-18
Gas Co Senior,207.22,Utilities,2025-09-12
Target Investment,215.29,Shopping,2024-11-22
Gift Shop Mouth,145.78,Others,2025-06-03
Internet Service Often,205.79,Utilities,2025-04-23
Phone Bill Already,200.28,Utilities,2025-05-28
Uber ride from New Scott,822.31,Travel,2025-06-22
Best Buy Wear,184.5,Shopping,2025-03-28
Gas Co Trouble,208.83,Utilities,2025-07-16
Spotify Every,20.45,Entertainment,2025-04-25
Charity Donation To,216.33,Others,2025-03-17
McDonald's order 580,49.94,Food & Dining,2025-09-07
Spotify National,8.7,Entertainment,2025-03-14
Ola ride from Brianshire,839.88,Travel,2025-02-09
Charity Donation Life,167.05,Others,2025-09-26
Miscellaneous Notice,130.71,Others,2025-05-29
Phone Bill Scientist,231.22,Utilities,2025-08-06
Netflix Nearly,17.74,Entertainment,2025-06-17
Ola ride from West Matthewfort,895.87,Travel,2025-10-08
Gift Shop Age,350.91,Others,2025-10-08
Internet Service Item,61.55,Utilities,2025-02-06
Charity Donation Sister,449.47,Others,2025-02-05
Fitbit Subscription Thousand,55.89,Fitness,2025-03-20
Charity Donation Career,163.02,Others,2025-02-12
Fitbit Subscription Indeed,101.63,Fitness,2025-08-15
Domino's order 832,23.17,Food & Dining,2024-12-24
Water Board Because,66.75,Utilities,2024-12-23
Fitbit Subscription Turn,74.95,Fitness,2025-03-22
Internet Service Garden,290.89,Utilities,2025-05-04
Yoga Studio Church,111.51,Fitness,2025-05-26
Ola ride from North Lisa,932.16,Travel,2025-02-11
Uber ride from Josephbury,428.17,Travel,2025-07-13
Miscellaneous Peace,116.97,Others,2025-06-13
Disney+ Remain,27.59,Entertainment,2024-12-12
Spotify Social,36.03,Entertainment,2025-10-20
Planet Fitness Media,84.54,Fitness,2025-06-08
Amazon Range,206.39,Shopping,2025-01-08
Gift Shop Tell,99.0,Others,2025-09-15
Etsy Offer,127.55,Shopping,2025-11-01
Rite Aid Pay,70.02,Healthcare,2025-03-08
Ola ride from West Jeremyberg,759.74,Travel,2025-03-11
Miscellaneous Management,61.71,Others,2025-09-25
Starbucks order 696,99.64,Food & Dining,2025-11-15
Gas Co Ever,70.62,Utilities,2025-05-09
Ola ride from Port Tonya,880.16,Travel,2024-12-13
Walmart Less,66.61,Shopping,2025-07-29
Gym Membership Force,77.62,Fitness,2025-07-06
Hulu Happy,29.78,Entertainment,2025-02-15
Loan EMI Similar,1176.46,Finance,2025-03-28
Charity Donation Movement,361.8,Others,2025-10-18
Walmart Race,258.7,Shopping,2025-02-12
Electric Company Industry,151.38,Utilities,2025-05-29
Target Especially,453.64,Shopping,2025-06-12
Pizza Hut order 730,10.83,Food & Dining,2025-01-07
Cinema Drop,48.85,Entertainment,2025-05-06
Flipkart Top,311.0,Shopping,2025-05-22
Miscellaneous Act,116.69,Others,2025-03-18
CVS Pharmacy Class,177.7,Healthcare,2025-07-18
Investment Platform Camera,1602.48,Finance,2025-10-24
Trainline ride from South Stephenhaven,986.93,Travel,2025-02-19
Fitbit Subscription Idea,97.98,Fitness,2025-03-11
Spotify Conference,26.39,Entertainment,2025-09-11
Walmart Decide,171.5,Shopping,2024-12-08
Planet Fitness Social,18.23,Fitness,2025-11-21
Bank Transfer Happen,1463.69,Finance,2025-06-20
Gift Shop Week,134.9,Others,2025-05-21
Phone Bill Door,63.3,Utilities,2025-07-13
McDonald's order 544,78.66,Food & Dining,2025-08-08
Amazon Man,301.61,Shopping,2025-04-25
Miscellaneous Recognize,216.87,Others,2025-09-22
McDonald's order 427,8.4,Food & Dining,2025-09-02
Hospital Magazine,190.75,Healthcare,2025-08-01
Gift Shop Put,469.59,Others,2025-10-30
Netflix Fund,8.58,Entertainment,2024-11-26
Yoga Studio Agency,146.18,Fitness,2025-07-12
Rite Aid Door,69.16,Healthcare,2025-06-04
KFC order 596,59.3,Food & Dining,2025-03-22
Spotify Thank,21.54,Entertainment,2025-08-10
Planet Fitness Tough,109.19,Fitness,2025-09-02
CVS Pharmacy Production,134.88,Healthcare,2024-11-29
Cafe Nero order 742,24.01,Food & Dining,2025-07-15
Electric Company These,115.17,Utilities,2025-06-20
Electric Company Trade,244.43,Utilities,2025-05-01
Movie Theater Number,40.62,Entertainment,2025-04-13
Cinema Live,20.19,Entertainment,2025-04-14
Gas Co Future,90.99,Utilities,2025-05-10
Netflix Town,37.64,Entertainment,2025-07-11
Yoga Studio Police,103.92,Fitness,2025-10-09
Airbnb ride from Leroyville,675.77,Travel,2025-10-03
Bank Transfer Speak,1072.77,Finance,2025-01-13
Loan EMI Probably,1081.25,Finance,2025-02-17
Fitbit Subscription Firm,67.93,Fitness,2025-03-05
Gas Co Into,259.77,Utilities,2025-02-19
Disney+ Space,8.18,Entertainment,2024-12-05
Gas Co Rich,269.88,Utilities,2025-11-04
Uber ride from South Scottstad,634.94,Travel,2025-09-26
Charity Donation Realize,492.73,Others,2025-06-29
Taxi Service ride from Durhamshire,381.02,Travel,2025-04-18
Rite Aid From,106.81,Healthcare,2025-11-21
Yoga Studio Bag,71.6,Fitness,2024-12-30
Starbucks order 324,30.14,Food & Dining,2025-04-09
Ola ride from Port Michelle,299.27,Travel,2025-10-06
Gym Membership Table,36.92,Fitness,2025-10-12
Walgreens Always,73.41,Healthcare,2025-02-11
Lyft ride from Wardberg,590.49,Travel,2025-10-05
Planet Fitness Maintain,99.05,Fitness,2024-11-22
Clinic Around,176.38,Healthcare,2025-02-17
Investment Platform Participant,612.79,Finance,2025-08-16
Phone Bill Number,207.11,Utilities,2025-05-31
Bank Transfer His,1001.83,Finance,2025-07-18
Charity Donation Various,261.71,Others,2024-12-02
Planet Fitness Matter,103.87,Fitness,2025-10-12
Miscellaneous Industry,418.39,Others,2025-02-23
Gas Co Mouth,145.11,Utilities,2025-09-28
Disney+ Order,30.7,Entertainment,2025-01-27
Taxi Service ride from New Robertfurt,108.98,Travel,2025-07-03
Water Board Involve,172.87,Utilities,2025-09-04
Delta Airlines ride from Jennifertown,600.68,Travel,2025-01-23
Yoga Studio Edge,147.98,Fitness,2025-11-12
Gift Shop Box,188.96,Others,2025-08-07
Gift Shop Meet,187.42,Others,2024-12-15
Miscellaneous Through,288.42,Others,2025-08-27
Gym Membership For,34.32,Fitness,2025-03-02
Phone Bill Including,161.9,Utilities,2025-07-10
Investment Platform Reveal,505.38,Finance,2025-03-11
Hulu Wear,49.46,Entertainment,2025-09-20
Taxi Service ride from Port Dianeport,117.99,Travel,2025-05-15
Planet Fitness Close,99.16,Fitness,2025-03-17
Domino's order 687,29.09,Food & Dining,2025-08-30
Gas Co Store,24.53,Utilities,2025-02-09
Walgreens Many,92.13,Healthcare,2025-09-18
Bank Transfer Education,960.38,Finance,2025-06-12
Starbucks order 953,41.14,Food & Dining,2025-07-23
Hospital Light,150.61,Healthcare,2025-11-17
Bank Transfer Bag,1054.44,Finance,2025-07-18
Trainline ride from Loganside,415.7,Travel,2025-04-15
Cafe Nero order 353,93.03,Food & Dining,2025-02-22
Pizza Hut order 554,63.66,Food & Dining,2025-07-22
CVS Pharmacy Force,36.18,Healthcare,2025-07-27
Taxi Service ride from Murphyshire,371.54,Travel,2024-12-03
Clinic Information,45.19,Healthcare,2025-11-06
Gift Shop Enter,151.47,Others,2024-11-28
Domino's order 788,69.29,Food & Dining,2025-01-02
Internet Service Sense,76.26,Utilities,2025-08-01
Fitbit Subscription Want,44.51,Fitness,2025-09-27
Loan EMI Nor,134.83,Finance,2025-06-26
Hospital Red,93.97,Healthcare,2025-06-11
Yoga Studio Executive,148.02,Fitness,2024-11-30
Phone Bill However,255.1,Utilities,2025-06-11
Trainline ride from Robertfurt,783.12,Travel,2025-07-09
CVS Pharmacy Wait,148.73,Healthcare,2025-04-26
Airbnb ride from Lisastad,265.99,Travel,2024-12-03
Cinema Happy,25.17,Entertainment,2025-04-25
Credit Card Payment Box,549.29,Finance,2025-08-27
Hospital Consider,97.38,Healthcare,2025-08-06
Gift Shop Current,443.78,Others,2025-04-18
Rite Aid Wall,194.48,Healthcare,2025-08-30
Fitbit Subscription New,11.08,Fitness,2025-09-18
Miscellaneous East,173.98,Others,2025-09-18
Pizza Hut order 573,85.04,Food & Dining,2024-12-20
CVS Pharmacy Hope,190.54,Healthcare,2024-11-22
Investment Platform Strong,654.05,Finance,2024-12-07
Charity Donation Meet,249.88,Others,2025-06-08
Hospital Wall,186.93,Healthcare,2025-07-29
Yoga Studio Reduce,40.83,Fitness,2025-06-15
Target Item,149.75,Shopping,2025-04-20
Planet Fitness Author,20.53,Fitness,2024-12-07
Electric Company Hard,230.74,Utilities,2025-07-22
Domino's order 352,31.18,Food & Dining,2025-10-06
Rite Aid Situation,190.0,Healthcare,2025-03-09
Walgreens Medical,105.41,Healthcare,2025-04-27
McDonald's order 988,81.74,Food & Dining,2025-10-22
Investment Platform Realize,1510.01,Finance,2025-07-05
Planet Fitness Allow,119.87,Fitness,2025-07-17
Clinic Set,88.37,Healthcare,2025-08-20
Starbucks order 319,40.77,Food & Dining,2025-01-12
Starbucks order 745,41.25,Food & Dining,2025-04-21
Water Board Simply,136.95,Utilities,2025-07-05
Gift Shop Anything,255.12,Others,2025-07-19
Hulu Hit,21.75,Entertainment,2025-04-23
Etsy Necessary,184.45,Shopping,2025-02-06
Best Buy Open,260.66,Shopping,2024-11-30
Electric Company People,133.43,Utilities,2025-04-18
Clinic Always,116.72,Healthcare,2024-11-28
Yoga Studio Political,146.07,Fitness,2025-09-27
KFC order 554,7.28,Food & Dining,2025-05-31
Charity Donation Every,211.02,Others,2025-04-14
Charity Donation To,109.52,Others,2025-03-17
Clinic No,197.15,Healthcare,2025-09-15
Bank Transfer Hotel,127.12,Finance,2025-06-12
Taxi Service ride from North Jose,311.41,Travel,2024-11-26
Miscellaneous Close,314.71,Others,2025-07-06
Charity Donation Fill,422.85,Others,2025-09-07
Investment Platform Build,1431.79,Finance,2025-10-28
Bank Transfer Across,1733.55,Finance,2025-08-28
Clinic Very,10.45,Healthcare,2025-06-18
Clinic Side,111.03,Healthcare,2024-12-16
Planet Fitness Watch,104.61,Fitness,2025-07-29
Investment Platform Record,1633.51,Finance,2025-08-22
Cafe Nero order 783,53.1,Food & Dining,2025-05-27
Ola ride from Jonathanbury,916.41,Travel,2025-11-21
Uber ride from South Lucas,188.69,Travel,2025-03-10
Subway order 327,95.38,Food & Dining,2024-12-07
Investment Platform Relationship,969.0,Finance,2025-08-15
Netflix Sure,15.55,Entertainment,2025-03-25
Water Board Church,178.27,Utilities,2024-12-26
Miscellaneous Nice,182.37,Others,2025-03-23
Amazon Role,489.53,Shopping,2024-11-23
Yoga Studio Occur,67.09,Fitness,2025-07-22
Yoga Studio Bad,51.93,Fitness,2025-11-18
Electric Company Picture,284.57,Utilities,2025-05-31
Investment Platform Memory,807.86,Finance,2025-09-18
Domino's order 523,15.25,Food & Dining,2025-09-01
Gas Co Strategy,195.84,Utilities,2025-02-15
Cafe Nero order 152,83.16,Food & Dining,2025-02-07
Loan EMI Allow,516.5,Finance,2025-06-21
Netflix Development,37.24,Entertainment,2024-12-22
Gift Shop Commercial,14.21,Others,2025-06-12
Hospital Reason,49.53,Healthcare,2025-03-16
Hulu Account,25.19,Entertainment,2025-05-23
Gym Membership Ever,81.86,Fitness,2025-05-05
Fitbit Subscription Similar,134.07,Fitness,2025-09-05
Gift Shop World,273.97,Others,2025-01-22
Clinic Whom,98.45,Healthcare,2025-09-01
Ola ride from Michellefurt,661.31,Travel,2025-05-20
Fitbit Subscription Realize,37.47,Fitness,2025-09-16
Movie Theater Interview,6.64,Entertainment,2025-07-01
Taxi Service ride from Sellerston,416.01,Travel,2025-09-27
Electric Company Likely,202.08,Utilities,2025-06-27
Loan EMI Former,867.69,Finance,2025-06-15
Taxi Service ride from South Dennis,726.48,Travel,2025-03-22
Charity Donation Today,162.93,Others,2025-04-12
Rite Aid Action,186.58,Healthcare,2025-10-20
Starbucks order 411,41.1,Food & Dining,2025-10-28
CVS Pharmacy Management,39.14,Healthcare,2025-06-03
Gift Shop Another,365.71,Others,2025-09-23
Miscellaneous Explain,395.74,Others,2025-06-28
